Name,Platform
Super Mario Bros.,NES
Pokemon Red/Pokemon Blue,GB
Tetris,GB
Duck Hunt,NES
Nintendogs,DS
Pokemon Gold/Pokemon Silver,GB
Super Mario World,SNES
Pokemon Diamond/Pokemon Pearl,DS
Super Mario Land,GB
Super Mario Bros. 3,NES
Pokemon Ruby/Pokemon Sapphire,GBA
Pokemon Black/Pokemon White,DS
Pokémon Yellow: Special Pikachu Edition,GB
Call of Duty: Black Ops 3,PS4
Pokemon X/Pokemon Y,3DS
Super Mario 64,N64
Pokemon HeartGold/Pokemon SoulSilver,DS
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS
Super Mario Land 2: 6 Golden Coins,GB
Super Mario All-Stars,SNES
Pokemon FireRed/Pokemon LeafGreen,GBA
Super Mario 64,DS
Mario Kart 64,N64
Donkey Kong Country,SNES
Minecraft,X360
Super Mario Kart,SNES
GoldenEye 007,N64
Pokemon Black 2/Pokemon White 2,DS
Mario & Sonic at the Olympic Games,Wii
Star Wars Battlefront (2015),PS4
Pac-Man,2600
The Legend of Zelda: Ocarina of Time,N64
Crash Bandicoot 2: Cortex Strikes Back,PS
Super Smash Bros. for Wii U and 3DS,3DS
Super Mario Bros. 2,NES
Call of Duty: Black Ops 3,XOne
Pokemon Sun/Moon,3DS
Mario Kart: Double Dash!!,GC
Crash Bandicoot,PS
Zumba Fitness,Wii
FIFA 12,PS3
The Legend of Zelda,NES
Pokémon Crystal Version,GB
Street Fighter II: The World Warrior,SNES
Sonic the Hedgehog 2,GEN
Tetris,NES
Super Smash Bros.,N64
Super Mario World,GBA
Pokemon Stadium,N64
Dr. Mario,GB
Pokemon Pinball,GB
Donkey Kong 64,N64
Minecraft,PS3
Tomodachi Life,3DS
Super Mario Bros. 3,GBA
Super Mario Land 3: Wario Land,GB
Donkey Kong Country 2: Diddy's Kong Quest,SNES
Kirby's Dream Land,GB
Microsoft Flight Simulator,PC
Mario & Sonic at the Olympic Games,DS
Super Mario Bros.,GB
Warzone 2100,PS
Spyro the Dragon,PS
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS
Diddy Kong Racing,N64
Monster Hunter Freedom 3,PSP
Super Smash Bros. for Wii U and 3DS,WiiU
Dr. Mario,NES
The Last of Us,PS4
The Simpsons: Hit & Run,PS2
The Legend of Zelda: A Link to the Past,SNES
Mario & Sonic at the Olympic Winter Games,Wii
Pitfall!,2600
Dragon Quest VII: Warriors of Eden,PS
Zelda II: The Adventure of Link,NES
Call of Duty: Advanced Warfare,PS3
Sonic the Hedgehog,GEN
The Legend of Zelda: Ocarina of Time,3DS
Minecraft,PS4
Asteroids,2600
Call of Duty: Advanced Warfare,X360
FIFA 15,PS3
Warcraft II: Tides of Darkness,PC
FIFA 12,X360
Teenage Mutant Ninja Turtles,NES
Excitebike,NES
Frogger,PS
Super Mario World 2: Yoshi's Island,SNES
FIFA Soccer 07,PS2
Street Fighter II Turbo,SNES
World Soccer Winning Eleven 9,PS2
Namco Museum Vol.3,PS
Star Fox 64,N64
Golf,NES
Donkey Kong Land,GB
Dragon Warrior III,NES
Nintendogs + cats,3DS
Namco Museum Vol.1,PS
The Legend of Zelda: Link's Awakening,GB
Resident Evil Director's Cut,PS
Mario & Luigi: Bowser's Inside Story,DS
Ratchet & Clank: Size Matters,PSP
Mario & Sonic at the London 2012 Olympic Games,Wii
Resident Evil 3: Nemesis,PS
Pokémon Trading Card Game,GB
Friend Collection,DS
Star Wars Battlefront (2015),XOne
Banjo-Kazooie,N64
Pokemon Snap,N64
Doom II: Hell on Earth,PC
Just Dance 2014,Wii
WWF SmackDown!,PS
Croc: Legend of the Gobbos,PS
Tomb Raider III: Adventures of Lara Croft,PS
LEGO Star Wars: The Video Game,PS2
Rugrats in Paris: The Movie,PS
Spyro 2: Ripto's Rage!,PS
